"algorithm","fun","dimension","ert","precision","rank"
"(1 2_m) CMA-ES",9,2,1670.533,1e-07,31
"DIRECT",9,2,2327.4,1e-07,32
"(1 2) CMA-ES",9,2,2680.133,1e-07,33
"CMA-EGS",9,2,2715.2,1e-07,34
"(1 2^s) CMA-ES",9,2,5103.067,1e-07,35
"PSO",9,2,6148.4,1e-07,36
"DE-PSO",9,2,8933.833,1e-07,37
"ALPS",9,2,13229.73,1e-07,38
"oPOEMS",9,2,14418.47,1e-07,39
"One-Fifth Variant3",9,2,14717.6,1e-07,40
"POEMS",9,2,15103.87,1e-07,41
"EDA-PSO",9,2,18898.33,1e-07,42
"PSO_Bounds",9,2,22139.47,1e-07,43
"DE-F-AUC",9,2,31788.08,1e-07,44
"PM-AdapSS-DE",9,2,31955.38,1e-07,45
"DASA",9,2,68190.6,1e-07,46
"nPOEMS",9,2,102096.9,1e-07,47
"Artificial Bee Colony",9,2,868368,1e-07,48
"Simple GA",9,2,1355996,1e-07,49
"RCGA",9,2,1410045,1e-07,50
"MCS",9,2,94.2,1e-08,1
"FULLNEWUOA",9,2,101.8667,1e-08,2
"BFGS",9,2,105.2,1e-08,3
"fminsearch",9,2,122.6667,1e-08,4
"Nelder-Doerr",9,2,136.7333,1e-08,5
"NEWUOA",9,2,156.1333,1e-08,6
"AVGNEWUOA",9,2,174.5333,1e-08,7
"Local Search - Rosenbrock",9,2,229.4,1e-08,8
"(1+2_m^s) CMA-ES",9,2,365.1333,1e-08,9
"GLOBAL",9,2,400,1e-08,10
"(1+1) CMA-ES",9,2,400.6,1e-08,11
"(1 4_m^s) CMA-ES",9,2,445.4667,1e-08,12
"(mu+lambda) CMA-ES",9,2,478.8667,1e-08,13
"iAMALGAM",9,2,534.0667,1e-08,14
"BIPOP-CMA-ES",9,2,568.9333,1e-08,15
"IPOP-ACTCMA-ES",9,2,578.6667,1e-08,16
"(1 4^s) CMA-ES",9,2,680.6,1e-08,17
"(1 4_m) CMA-ES",9,2,690.0667,1e-08,18
"IPOP-CMA-ES",9,2,696.8667,1e-08,19
"(1 4) CMA-ES",9,2,710.4667,1e-08,20
"AMALGAM",9,2,760,1e-08,21
"IPOP-SEP-CMA-ES",9,2,868.4,1e-08,22
"VNS",9,2,968.0667,1e-08,23
"G3PCX",9,2,1091.667,1e-08,24
"MA-LS-CHAIN",9,2,1091.933,1e-08,25
"DEuniform",9,2,1130.733,1e-08,26
"Cauchy-EDA",9,2,1345.8,1e-08,27
"(1 2_m^s) CMA-ES",9,2,1426.8,1e-08,28
"MOS",9,2,1443.2,1e-08,29
"NBC-CMA",9,2,1627.533,1e-08,30
"(1 2_m) CMA-ES",9,2,1733.6,1e-08,31
"(1 2) CMA-ES",9,2,2754.133,1e-08,32
"CMA-EGS",9,2,2815.467,1e-08,33
"DIRECT",9,2,2861.4,1e-08,34
"(1 2^s) CMA-ES",9,2,5161.8,1e-08,35
"PSO",9,2,7491.6,1e-08,36
"DE-PSO",9,2,13698.75,1e-08,37
"ALPS",9,2,16507.93,1e-08,38
"One-Fifth Variant3",9,2,16698.8,1e-08,39
"POEMS",9,2,17061.27,1e-08,40
"oPOEMS",9,2,17354.8,1e-08,41
"EDA-PSO",9,2,21858.33,1e-08,42
"PSO_Bounds",9,2,24443.8,1e-08,43
"DE-F-AUC",9,2,31870.46,1e-08,44
"PM-AdapSS-DE",9,2,32058.77,1e-08,45
"DASA",9,2,78291.6,1e-08,46
"nPOEMS",9,2,123105.1,1e-08,47
"Artificial Bee Colony",9,2,1046938,1e-08,48
"Simple GA",9,2,1376396,1e-08,49
"RCGA",9,2,1429480,1e-08,50
"FULLNEWUOA",9,3,159.4667,0.001,1
"MCS",9,3,169.2,0.001,2
"BFGS",9,3,170.6,0.001,3
"fminsearch",9,3,174.8,0.001,4
"Nelder-Doerr",9,3,176.7333,0.001,5
"AVGNEWUOA",9,3,182.3333,0.001,6
"NEWUOA",9,3,195.6667,0.001,7
"Local Search - Rosenbrock",9,3,433.3333,0.001,8
"GLOBAL",9,3,497.5333,0.001,9
"(1+1) CMA-ES",9,3,499.8,0.001,10
"(1+2_m^s) CMA-ES",9,3,547.6,0.001,11
"(mu+lambda) CMA-ES",9,3,592.4,0.001,12
"(1 4_m^s) CMA-ES",9,3,648.6667,0.001,13
"BIPOP-CMA-ES",9,3,786.4667,0.001,14
"(1 4_m) CMA-ES",9,3,793.6667,0.001,15
"IPOP-CMA-ES",9,3,795.5333,0.001,16
"IPOP-ACTCMA-ES",9,3,814.7333,0.001,17
"iAMALGAM",9,3,866.8,0.001,18
"VNS",9,3,1001.4,0.001,19
"(1 4) CMA-ES",9,3,1095.667,0.001,20
"AMALGAM",9,3,1134.933,0.001,21
"(1 4^s) CMA-ES",9,3,1161.133,0.001,22
"IPOP-SEP-CMA-ES",9,3,1299.6,0.001,23
"NBC-CMA",9,3,1526.2,0.001,24
"PM-AdapSS-DE",9,3,1616.333,0.001,25
"MOS",9,3,1656.6,0.001,26
"MA-LS-CHAIN",9,3,1750,0.001,27
"(1 2_m) CMA-ES",9,3,1816.533,0.001,28
"G3PCX",9,3,1853.2,0.001,29
"DEuniform",9,3,2006.733,0.001,30
"(1 2_m^s) CMA-ES",9,3,2131.267,0.001,31
"Cauchy-EDA",9,3,2746.2,0.001,32
"(1 2) CMA-ES",9,3,2852.2,0.001,33
"DIRECT",9,3,2934.2,0.001,34
"DE-F-AUC",9,3,3102.6,0.001,35
"(1 2^s) CMA-ES",9,3,3578.733,0.001,36
"CMA-EGS",9,3,4330.667,0.001,37
"ALPS",9,3,16692.2,0.001,38
"One-Fifth Variant3",9,3,18450.4,0.001,39
"PSO",9,3,20053.53,0.001,40
"EDA-PSO",9,3,29629.13,0.001,41
"POEMS",9,3,39510,0.001,42
"oPOEMS",9,3,40162.6,0.001,43
"DE-PSO",9,3,90086,0.001,44
"nPOEMS",9,3,99568.2,0.001,45
"PSO_Bounds",9,3,106813.1,0.001,46
"Line Search - fminbnd",9,3,205683.5,0.001,47
"DASA",9,3,229214.1,0.001,48
"Artificial Bee Colony",9,3,774112.6,0.001,49
"FULLNEWUOA",9,3,164.6,1e-04,1
"BFGS",9,3,175.6667,1e-04,2
"fminsearch",9,3,184.8667,1e-04,3
"AVGNEWUOA",9,3,189.2667,1e-04,4.5
"Nelder-Doerr",9,3,189.2667,1e-04,4.5
"MCS",9,3,193.8,1e-04,6
"NEWUOA",9,3,204.6667,1e-04,7
"Local Search - Rosenbrock",9,3,462.1333,1e-04,8
"GLOBAL",9,3,511.6,1e-04,9
"(1+1) CMA-ES",9,3,538.1333,1e-04,10
"(1+2_m^s) CMA-ES",9,3,582.8667,1e-04,11
"(mu+lambda) CMA-ES",9,3,619.6667,1e-04,12
"(1 4_m^s) CMA-ES",9,3,686.8667,1e-04,13
"BIPOP-CMA-ES",9,3,841.2,1e-04,14
"IPOP-CMA-ES",9,3,860.4667,1e-04,15
"(1 4_m) CMA-ES",9,3,861.0667,1e-04,16
"IPOP-ACTCMA-ES",9,3,868.1333,1e-04,17
"iAMALGAM",9,3,951.9333,1e-04,18
"VNS",9,3,1074.867,1e-04,19
"(1 4) CMA-ES",9,3,1158.867,1e-04,20
"(1 4^s) CMA-ES",9,3,1200,1e-04,21
"AMALGAM",9,3,1268.467,1e-04,22
"IPOP-SEP-CMA-ES",9,3,1351.4,1e-04,23
"NBC-CMA",9,3,1618,1e-04,24
"PM-AdapSS-DE",9,3,1788.6,1e-04,25
"MOS",9,3,1852.467,1e-04,26
"MA-LS-CHAIN",9,3,1889.533,1e-04,27
"(1 2_m) CMA-ES",9,3,1944.467,1e-04,28
"G3PCX",9,3,1949.733,1e-04,29
"DEuniform",9,3,2223.2,1e-04,30
"(1 2_m^s) CMA-ES",9,3,2224.733,1e-04,31
"Cauchy-EDA",9,3,2991.067,1e-04,32
"(1 2) CMA-ES",9,3,3013.2,1e-04,33
"DE-F-AUC",9,3,3694.933,1e-04,34
"(1 2^s) CMA-ES",9,3,3914.733,1e-04,35
"DIRECT",9,3,4474.4,1e-04,36
"CMA-EGS",9,3,4573.4,1e-04,37
"ALPS",9,3,21762,1e-04,38
"One-Fifth Variant3",9,3,24310.73,1e-04,39
"PSO",9,3,33614.6,1e-04,40
"EDA-PSO",9,3,43499.33,1e-04,41
"oPOEMS",9,3,58017.13,1e-04,42
"POEMS",9,3,62328.13,1e-04,43
"nPOEMS",9,3,125514.8,1e-04,44
"PSO_Bounds",9,3,128511.3,1e-04,45
"DASA",9,3,318696.9,1e-04,46
"Line Search - fminbnd",9,3,421895,1e-04,47
"Artificial Bee Colony",9,3,4413772,1e-04,48
"FULLNEWUOA",9,3,168.8667,1e-05,1
"BFGS",9,3,179.4,1e-05,2
"AVGNEWUOA",9,3,195.7333,1e-05,3
"MCS",9,3,196,1e-05,4
"fminsearch",9,3,200.0667,1e-05,5
"Nelder-Doerr",9,3,203.2667,1e-05,6
"NEWUOA",9,3,212.9333,1e-05,7
"Local Search - Rosenbrock",9,3,484.5333,1e-05,8
"GLOBAL",9,3,523.8,1e-05,9
"(1+1) CMA-ES",9,3,576.8,1e-05,10
"(1+2_m^s) CMA-ES",9,3,610.6667,1e-05,11
"(mu+lambda) CMA-ES",9,3,662.8667,1e-05,12
"(1 4_m^s) CMA-ES",9,3,724.1333,1e-05,13
"BIPOP-CMA-ES",9,3,900,1e-05,14
"(1 4_m) CMA-ES",9,3,910.0667,1e-05,15
"IPOP-ACTCMA-ES",9,3,914.8,1e-05,16
"IPOP-CMA-ES",9,3,921.4667,1e-05,17
"iAMALGAM",9,3,1019.867,1e-05,18
"VNS",9,3,1137.667,1e-05,19
"(1 4) CMA-ES",9,3,1210.667,1e-05,20
"(1 4^s) CMA-ES",9,3,1238.8,1e-05,21
"AMALGAM",9,3,1361.533,1e-05,22
"IPOP-SEP-CMA-ES",9,3,1406.067,1e-05,23
"NBC-CMA",9,3,1714,1e-05,24
"PM-AdapSS-DE",9,3,1977.6,1e-05,25
"G3PCX",9,3,1984,1e-05,26
"MA-LS-CHAIN",9,3,2016.267,1e-05,27
"(1 2_m) CMA-ES",9,3,2027.267,1e-05,28
"MOS",9,3,2067.467,1e-05,29
"(1 2_m^s) CMA-ES",9,3,2277.467,1e-05,30
"DEuniform",9,3,2367.533,1e-05,31
"(1 2) CMA-ES",9,3,3111.467,1e-05,32
"Cauchy-EDA",9,3,3195.467,1e-05,33
"DE-F-AUC",9,3,3982.067,1e-05,34
"(1 2^s) CMA-ES",9,3,4073.2,1e-05,35
"CMA-EGS",9,3,4727.067,1e-05,36
"DIRECT",9,3,4865.2,1e-05,37
"ALPS",9,3,28019.93,1e-05,38
"One-Fifth Variant3",9,3,30263.73,1e-05,39
"PSO",9,3,46306.53,1e-05,40
"EDA-PSO",9,3,58371.4,1e-05,41
"oPOEMS",9,3,77885.73,1e-05,42
"POEMS",9,3,84400.79,1e-05,43
"PSO_Bounds",9,3,149113.7,1e-05,44
"nPOEMS",9,3,159549.1,1e-05,45
"DASA",9,3,421584,1e-05,46
"Line Search - fminbnd",9,3,444707,1e-05,47
"FULLNEWUOA",9,3,173.8667,1e-06,1
"BFGS",9,3,182.8667,1e-06,2
"MCS",9,3,200.8,1e-06,3
"AVGNEWUOA",9,3,201.0667,1e-06,4
"fminsearch",9,3,212,1e-06,5
"Nelder-Doerr",9,3,215,1e-06,6
"NEWUOA",9,3,220.6,1e-06,7
"Local Search - Rosenbrock",9,3,500.5333,1e-06,8
"GLOBAL",9,3,534.8667,1e-06,9
"(1+1) CMA-ES",9,3,606.7333,1e-06,10
"(1+2_m^s) CMA-ES",9,3,641.4,1e-06,11
"(mu+lambda) CMA-ES",9,3,696.0667,1e-06,12
"(1 4_m^s) CMA-ES",9,3,756.8667,1e-06,13
"IPOP-ACTCMA-ES",9,3,948.8,1e-06,14
"BIPOP-CMA-ES",9,3,950.8,1e-06,15
"(1 4_m) CMA-ES",9,3,959.1333,1e-06,16
"IPOP-CMA-ES",9,3,971.1333,1e-06,17
"iAMALGAM",9,3,1072.133,1e-06,18
"VNS",9,3,1195.467,1e-06,19
"(1 4) CMA-ES",9,3,1256.267,1e-06,20
"(1 4^s) CMA-ES",9,3,1273.467,1e-06,21
"AMALGAM",9,3,1442.6,1e-06,22
"IPOP-SEP-CMA-ES",9,3,1451.067,1e-06,23
"NBC-CMA",9,3,1808.267,1e-06,24
"G3PCX",9,3,2013.333,1e-06,25
"(1 2_m) CMA-ES",9,3,2085.867,1e-06,26
"MA-LS-CHAIN",9,3,2109.333,1e-06,27
"PM-AdapSS-DE",9,3,2114.4,1e-06,28
"MOS",9,3,2253.4,1e-06,29
"(1 2_m^s) CMA-ES",9,3,2359.6,1e-06,30
"DEuniform",9,3,2561.333,1e-06,31
"(1 2) CMA-ES",9,3,3211.867,1e-06,32
"Cauchy-EDA",9,3,3463.867,1e-06,33
"DE-F-AUC",9,3,4150.467,1e-06,34
"(1 2^s) CMA-ES",9,3,4287.733,1e-06,35
"CMA-EGS",9,3,4888.467,1e-06,36
"DIRECT",9,3,5689.2,1e-06,37
"ALPS",9,3,32828.53,1e-06,38
"One-Fifth Variant3",9,3,36239.73,1e-06,39
"PSO",9,3,64088.67,1e-06,40
"EDA-PSO",9,3,73311.4,1e-06,41
"oPOEMS",9,3,86003.2,1e-06,42
"POEMS",9,3,108582.6,1e-06,43
"PSO_Bounds",9,3,166640.8,1e-06,44
"nPOEMS",9,3,199730,1e-06,45
"DASA",9,3,524320.3,1e-06,46
"FULLNEWUOA",9,3,178.1333,1e-07,1
"BFGS",9,3,185,1e-07,2
"AVGNEWUOA",9,3,206.4667,1e-07,3
"MCS",9,3,217,1e-07,4
"fminsearch",9,3,224.0667,1e-07,5
"NEWUOA",9,3,225.7333,1e-07,6
"Nelder-Doerr",9,3,227.8,1e-07,7
"Local Search - Rosenbrock",9,3,516.6667,1e-07,8
"GLOBAL",9,3,545.9333,1e-07,9
"(1+1) CMA-ES",9,3,635.9333,1e-07,10
"(1+2_m^s) CMA-ES",9,3,666.5333,1e-07,11
"(mu+lambda) CMA-ES",9,3,722.6,1e-07,12
"(1 4_m^s) CMA-ES",9,3,781.2,1e-07,13
"(1 4_m) CMA-ES",9,3,997.3333,1e-07,14
"BIPOP-CMA-ES",9,3,1001.6,1e-07,15
"IPOP-ACTCMA-ES",9,3,1006.333,1e-07,16
"IPOP-CMA-ES",9,3,1011,1e-07,17
"iAMALGAM",9,3,1146.467,1e-07,18
"VNS",9,3,1247,1e-07,19
"(1 4) CMA-ES",9,3,1290.133,1e-07,20
"(1 4^s) CMA-ES",9,3,1304.333,1e-07,21
"IPOP-SEP-CMA-ES",9,3,1501.267,1e-07,22
"AMALGAM",9,3,1527.867,1e-07,23
"NBC-CMA",9,3,1882.467,1e-07,24
"G3PCX",9,3,2051.667,1e-07,25
"(1 2_m) CMA-ES",9,3,2164.733,1e-07,26
"MA-LS-CHAIN",9,3,2262.2,1e-07,27
"PM-AdapSS-DE",9,3,2295.267,1e-07,28
"(1 2_m^s) CMA-ES",9,3,2408.4,1e-07,29
"MOS",9,3,2421.6,1e-07,30
"DEuniform",9,3,2753.733,1e-07,31
"(1 2) CMA-ES",9,3,3337.133,1e-07,32
"Cauchy-EDA",9,3,3615.133,1e-07,33
"DE-F-AUC",9,3,4325.933,1e-07,34
"(1 2^s) CMA-ES",9,3,4385,1e-07,35
"CMA-EGS",9,3,5164.267,1e-07,36
"DIRECT",9,3,6829.6,1e-07,37
"ALPS",9,3,39460.07,1e-07,38
"One-Fifth Variant3",9,3,42188.4,1e-07,39
"PSO",9,3,78908,1e-07,40
"EDA-PSO",9,3,88167.27,1e-07,41
"oPOEMS",9,3,107673.9,1e-07,42
"POEMS",9,3,162150.8,1e-07,43
"PSO_Bounds",9,3,183536,1e-07,44
"nPOEMS",9,3,227381.2,1e-07,45
"DASA",9,3,642788.3,1e-07,46
"FULLNEWUOA",9,3,180.5333,1e-08,1
"BFGS",9,3,187.9333,1e-08,2
"AVGNEWUOA",9,3,210,1e-08,3
"MCS",9,3,222,1e-08,4
"NEWUOA",9,3,230.9333,1e-08,5
"fminsearch",9,3,234.7333,1e-08,6
"Nelder-Doerr",9,3,240.1333,1e-08,7
"Local Search - Rosenbrock",9,3,564.2667,1e-08,8
"GLOBAL",9,3,610.2667,1e-08,9
"(1+1) CMA-ES",9,3,670.2667,1e-08,10
"(1+2_m^s) CMA-ES",9,3,695.8667,1e-08,11
"(mu+lambda) CMA-ES",9,3,754.7333,1e-08,12
"(1 4_m^s) CMA-ES",9,3,811.9333,1e-08,13
"BIPOP-CMA-ES",9,3,1045.467,1e-08,14
"(1 4_m) CMA-ES",9,3,1046.067,1e-08,15
"IPOP-ACTCMA-ES",9,3,1051.067,1e-08,16
"IPOP-CMA-ES",9,3,1054.133,1e-08,17
"iAMALGAM",9,3,1201.667,1e-08,18
"VNS",9,3,1289.733,1e-08,19
"(1 4) CMA-ES",9,3,1325.533,1e-08,20
"(1 4^s) CMA-ES",9,3,1332.933,1e-08,21
"IPOP-SEP-CMA-ES",9,3,1554.867,1e-08,22
"AMALGAM",9,3,1582.267,1e-08,23
"NBC-CMA",9,3,1982.6,1e-08,24
"G3PCX",9,3,2082.733,1e-08,25
"(1 2_m) CMA-ES",9,3,2222.467,1e-08,26
"MA-LS-CHAIN",9,3,2383.267,1e-08,27
"PM-AdapSS-DE",9,3,2461.467,1e-08,28
"(1 2_m^s) CMA-ES",9,3,2466.067,1e-08,29
"MOS",9,3,2550.867,1e-08,30
"DEuniform",9,3,2932.733,1e-08,31
"(1 2) CMA-ES",9,3,3412,1e-08,32
"Cauchy-EDA",9,3,3794.533,1e-08,33
"DE-F-AUC",9,3,4474.333,1e-08,34
"(1 2^s) CMA-ES",9,3,4486.467,1e-08,35
"CMA-EGS",9,3,5314.333,1e-08,36
"DIRECT",9,3,8147.6,1e-08,37
"One-Fifth Variant3",9,3,48045.53,1e-08,38
"ALPS",9,3,49814.47,1e-08,39
"PSO",9,3,95320.53,1e-08,40
"EDA-PSO",9,3,102747.7,1e-08,41
"oPOEMS",9,3,121347.3,1e-08,42
"PSO_Bounds",9,3,234678.1,1e-08,43
"POEMS",9,3,237490.7,1e-08,44
"nPOEMS",9,3,259658.1,1e-08,45
"DASA",9,3,756918.5,1e-08,46
"MCS",9,5,300.4,0.001,1
"FULLNEWUOA",9,5,464.6,0.001,2
"BFGS",9,5,483.4,0.001,3
"AVGNEWUOA",9,5,504.9333,0.001,4
"NEWUOA",9,5,582.7333,0.001,5
"Nelder-Doerr",9,5,641.4,0.001,6
"GLOBAL",9,5,828.2667,0.001,7
"(1+2_m^s) CMA-ES",9,5,1254,0.001,8
"IPOP-ACTCMA-ES",9,5,1507.4,0.001,9
"(mu+lambda) CMA-ES",9,5,1511.733,0.001,10
"fminsearch",9,5,1857.667,0.001,11
"(1 4_m^s) CMA-ES",9,5,1905.133,0.001,12
"BIPOP-CMA-ES",9,5,1913.2,0.001,13
"(1+1) CMA-ES",9,5,2155.267,0.001,14
"(1 4_m) CMA-ES",9,5,2162.933,0.001,15
"IPOP-CMA-ES",9,5,2249,0.001,16
"(1 4^s) CMA-ES",9,5,2315.2,0.001,17
"IPOP-SEP-CMA-ES",9,5,2486,0.001,18
"(1 4) CMA-ES",9,5,2816.867,0.001,19
"(1 2_m^s) CMA-ES",9,5,2871.267,0.001,20
"NBC-CMA",9,5,2906.667,0.001,21
"G3PCX",9,5,3354.867,0.001,22
"(1 2_m) CMA-ES",9,5,3378.267,0.001,23
"VNS",9,5,3396.267,0.001,24
"iAMALGAM",9,5,3798.4,0.001,25
"Local Search - Rosenbrock",9,5,4188.067,0.001,26
"DE-F-AUC",9,5,4689,0.001,27
"AMALGAM",9,5,4839.133,0.001,28
"MA-LS-CHAIN",9,5,5114.267,0.001,29
"MOS",9,5,5165.4,0.001,30
"PM-AdapSS-DE",9,5,6376.333,0.001,31
"(1 2) CMA-ES",9,5,6417.267,0.001,32
"DEuniform",9,5,6458.2,0.001,33
"(1 2^s) CMA-ES",9,5,10310.87,0.001,34
"Cauchy-EDA",9,5,12268.27,0.001,35
"CMA-EGS",9,5,13595.87,0.001,36
"One-Fifth Variant3",9,5,38413.4,0.001,37
"DIRECT",9,5,40192,0.001,38
"ALPS",9,5,77744.53,0.001,39
"EDA-PSO",9,5,210271.1,0.001,40
"nPOEMS",9,5,216880.8,0.001,41
"oPOEMS",9,5,312203.5,0.001,42
"POEMS",9,5,316189.9,0.001,43
"PSO",9,5,339171.7,0.001,44
"PSO_Bounds",9,5,1190170,0.001,45
"DASA",9,5,1439102,0.001,46
"MCS",9,5,323.8,1e-04,1
"FULLNEWUOA",9,5,472.6,1e-04,2
"BFGS",9,5,491,1e-04,3
"AVGNEWUOA",9,5,516.7333,1e-04,4
"NEWUOA",9,5,605.3333,1e-04,5
"Nelder-Doerr",9,5,670.6667,1e-04,6
"GLOBAL",9,5,860.5333,1e-04,7
"(1+2_m^s) CMA-ES",9,5,1301.6,1e-04,8
"(mu+lambda) CMA-ES",9,5,1580.933,1e-04,9
"IPOP-ACTCMA-ES",9,5,1589.933,1e-04,10
"fminsearch",9,5,1897.6,1e-04,11
"(1 4_m^s) CMA-ES",9,5,1970.467,1e-04,12
"BIPOP-CMA-ES",9,5,2004,1e-04,13
"(1+1) CMA-ES",9,5,2214.067,1e-04,14
"(1 4_m) CMA-ES",9,5,2267.267,1e-04,15
"IPOP-CMA-ES",9,5,2350.6,1e-04,16
"(1 4^s) CMA-ES",9,5,2389.8,1e-04,17
"IPOP-SEP-CMA-ES",9,5,2583.267,1e-04,18
"(1 4) CMA-ES",9,5,2933.467,1e-04,19
"(1 2_m^s) CMA-ES",9,5,2997.933,1e-04,20
"NBC-CMA",9,5,3075.4,1e-04,21
"G3PCX",9,5,3418.267,1e-04,22
"VNS",9,5,3491.533,1e-04,23
"(1 2_m) CMA-ES",9,5,3502.6,1e-04,24
"iAMALGAM",9,5,3984.467,1e-04,25
"Local Search - Rosenbrock",9,5,4412.133,1e-04,26
"DE-F-AUC",9,5,5087,1e-04,27
"AMALGAM",9,5,5121.733,1e-04,28
"MA-LS-CHAIN",9,5,5276,1e-04,29
"MOS",9,5,5411.133,1e-04,30
"(1 2) CMA-ES",9,5,6668.4,1e-04,31
"PM-AdapSS-DE",9,5,6691.333,1e-04,32
"DEuniform",9,5,6844.467,1e-04,33
"(1 2^s) CMA-ES",9,5,10595.33,1e-04,34
"Cauchy-EDA",9,5,13223.13,1e-04,35
"CMA-EGS",9,5,14913.87,1e-04,36
"DIRECT",9,5,45357.2,1e-04,37
"One-Fifth Variant3",9,5,52447.2,1e-04,38
"ALPS",9,5,99895.73,1e-04,39
"nPOEMS",9,5,275175.2,1e-04,40
"EDA-PSO",9,5,370134.9,1e-04,41
"PSO",9,5,469115.8,1e-04,42
"oPOEMS",9,5,477069.7,1e-04,43
"POEMS",9,5,609755.4,1e-04,44
"DASA",9,5,1726724,1e-04,45
"PSO_Bounds",9,5,3666658,1e-04,46
"MCS",9,5,335.4,1e-05,1
"FULLNEWUOA",9,5,481.3333,1e-05,2
"BFGS",9,5,498.2,1e-05,3
"AVGNEWUOA",9,5,526,1e-05,4
"NEWUOA",9,5,625.4667,1e-05,5
"Nelder-Doerr",9,5,699.4,1e-05,6
"GLOBAL",9,5,892.1333,1e-05,7
"(1+2_m^s) CMA-ES",9,5,1356.467,1e-05,8
"(mu+lambda) CMA-ES",9,5,1640.133,1e-05,9
"IPOP-ACTCMA-ES",9,5,1662.667,1e-05,10
"fminsearch",9,5,1932.267,1e-05,11
"(1 4_m^s) CMA-ES",9,5,2026.267,1e-05,12
"BIPOP-CMA-ES",9,5,2106.933,1e-05,13
"(1+1) CMA-ES",9,5,2265.6,1e-05,14
"(1 4_m) CMA-ES",9,5,2338.733,1e-05,15
"(1 4^s) CMA-ES",9,5,2448.8,1e-05,16
"IPOP-CMA-ES",9,5,2462.867,1e-05,17
"IPOP-SEP-CMA-ES",9,5,2673.667,1e-05,18
"(1 4) CMA-ES",9,5,3019.2,1e-05,19
"(1 2_m^s) CMA-ES",9,5,3084.467,1e-05,20
"NBC-CMA",9,5,3214.2,1e-05,21
"G3PCX",9,5,3481.333,1e-05,22
"VNS",9,5,3585.333,1e-05,23
"(1 2_m) CMA-ES",9,5,3620.533,1e-05,24
"iAMALGAM",9,5,4142.8,1e-05,25
"Local Search - Rosenbrock",9,5,4628.2,1e-05,26
"AMALGAM",9,5,5336.6,1e-05,27
"MA-LS-CHAIN",9,5,5411.733,1e-05,28
"DE-F-AUC",9,5,5465.2,1e-05,29
"MOS",9,5,5715.133,1e-05,30
"(1 2) CMA-ES",9,5,6801.133,1e-05,31
"PM-AdapSS-DE",9,5,7096.4,1e-05,32
"DEuniform",9,5,7313.667,1e-05,33
"(1 2^s) CMA-ES",9,5,10946,1e-05,34
"Cauchy-EDA",9,5,14196.4,1e-05,35
"CMA-EGS",9,5,15405.27,1e-05,36
"DIRECT",9,5,50580.6,1e-05,37
"One-Fifth Variant3",9,5,67403.13,1e-05,38
"ALPS",9,5,125319.3,1e-05,39
"nPOEMS",9,5,333504.3,1e-05,40
"EDA-PSO",9,5,447841.8,1e-05,41
"oPOEMS",9,5,622589.5,1e-05,42
"PSO",9,5,791729.7,1e-05,43
"DASA",9,5,2203469,1e-05,44
"POEMS",9,5,3643270,1e-05,45
"PSO_Bounds",9,5,7372559,1e-05,46
"MCS",9,5,355.4,1e-06,1
"FULLNEWUOA",9,5,487.2,1e-06,2
"BFGS",9,5,503,1e-06,3
"AVGNEWUOA",9,5,534.0667,1e-06,4
"NEWUOA",9,5,633.7333,1e-06,5
"Nelder-Doerr",9,5,724.0667,1e-06,6
"GLOBAL",9,5,954.4,1e-06,7
"(1+2_m^s) CMA-ES",9,5,1402.8,1e-06,8
"(mu+lambda) CMA-ES",9,5,1691.4,1e-06,9
"IPOP-ACTCMA-ES",9,5,1738.867,1e-06,10
"fminsearch",9,5,1956.4,1e-06,11
"(1 4_m^s) CMA-ES",9,5,2080.667,1e-06,12
"BIPOP-CMA-ES",9,5,2207,1e-06,13
"(1+1) CMA-ES",9,5,2319,1e-06,14
"(1 4_m) CMA-ES",9,5,2413.133,1e-06,15
"(1 4^s) CMA-ES",9,5,2507.4,1e-06,16
"IPOP-CMA-ES",9,5,2549.667,1e-06,17
"IPOP-SEP-CMA-ES",9,5,2767.4,1e-06,18
"(1 4) CMA-ES",9,5,3093.133,1e-06,19
"(1 2_m^s) CMA-ES",9,5,3168.6,1e-06,20
"NBC-CMA",9,5,3358.067,1e-06,21
"G3PCX",9,5,3550.067,1e-06,22
"VNS",9,5,3666.467,1e-06,23
"(1 2_m) CMA-ES",9,5,3765.667,1e-06,24
"iAMALGAM",9,5,4280.667,1e-06,25
"Local Search - Rosenbrock",9,5,4829.4,1e-06,26
"AMALGAM",9,5,5550.067,1e-06,27
"MA-LS-CHAIN",9,5,5659.4,1e-06,28
"DE-F-AUC",9,5,5825,1e-06,29
"MOS",9,5,5927.8,1e-06,30
"(1 2) CMA-ES",9,5,6983.067,1e-06,31
"PM-AdapSS-DE",9,5,7556.133,1e-06,32
"DEuniform",9,5,7763.4,1e-06,33
"(1 2^s) CMA-ES",9,5,11166.67,1e-06,34
"Cauchy-EDA",9,5,14998.13,1e-06,35
"CMA-EGS",9,5,16321.67,1e-06,36
"DIRECT",9,5,70047.75,1e-06,37
"One-Fifth Variant3",9,5,82671.53,1e-06,38
"ALPS",9,5,157162.9,1e-06,39
"nPOEMS",9,5,379897.9,1e-06,40
"oPOEMS",9,5,823771.4,1e-06,41
"PSO",9,5,977351.3,1e-06,42
"EDA-PSO",9,5,1006324,1e-06,43
"DASA",9,5,2814226,1e-06,44
"PSO_Bounds",9,5,7408590,1e-06,45
